player_id,teams,unlisted_teams
a5735bd3,"['Marylebone Cricket Club Young Cricketers', 'Greece', 'Kent 2nd XI', 'Sussex']","['Marylebone Cricket Club Young Cricketers', 'Kent 2nd XI']"
a57800ba,['North West Warriors'],['North West Warriors']
a58309de,"['Middlesex', 'Buckinghamshire', 'Middlesex 2nd XI']","['Buckinghamshire', 'Middlesex 2nd XI']"
a58af75f,"['Pakistan', 'Lahore', 'Pakistan Reserves', 'Redco Pakistan Ltd', 'Public Works Department']","['Lahore', 'Pakistan Reserves', 'Redco Pakistan Ltd', 'Public Works Department']"
a5c48ed1,"['Sri Lanka Emerging Team', 'Dambulla Sixers', 'Sinhalese Sports Club', 'Colombo', 'Kandy', 'Sri Lanka']","['Sri Lanka Emerging Team', 'Sinhalese Sports Club', 'Colombo', 'Kandy']"
a5c5a126,"['Lahore Eagles', 'Pakistan Telecommunication Company Limited', 'Lahore', 'Zarai Taraqiati Bank Limited', 'Redco Pakistan Ltd', 'Pakistan', 'Lahore Lions']","['Lahore Eagles', 'Pakistan Telecommunication Company Limited', 'Lahore', 'Zarai Taraqiati Bank Limited', 'Redco Pakistan Ltd', 'Lahore Lions']"
a5c946d1,['Surrey 2nd XI'],['Surrey 2nd XI']
a5dfcd4b,['Chandigarh Champs'],['Chandigarh Champs']
a6004ded,"['Kerala', 'Rest of India']",['Rest of India']
a61850e6,"['Southern Province', 'Southern Ladies Cricket Club', 'Sri Lanka']","['Southern Province', 'Southern Ladies Cricket Club']"
a63775d6,"['Khan Research Laboratories', 'Multan Region', 'Lahore Qalandars', 'Multan', 'Quetta Gladiators', 'Pakistan', 'Peshawar Zalmi', 'Sui Northern Gas Pipelines Limited']","['Khan Research Laboratories', 'Multan Region', 'Multan', 'Sui Northern Gas Pipelines Limited']"
a63dfe8a,"['Northamptonshire', 'England', 'Northamptonshire 2nd XI']",['Northamptonshire 2nd XI']
a655e06f,['Berkshire'],['Berkshire']
a6581d15,"['Kent', 'England', 'Kent 2nd XI']",['Kent 2nd XI']
a671ad8b,"['Uttar Pradesh', 'Alfalah University Men']",['Alfalah University Men']
a689af4b,"['Mysuru Warriors', 'Karnataka', 'Hubli Tigers', 'Royal Challengers Bangalore']","['Mysuru Warriors', 'Hubli Tigers']"
a699488a,"['Khulna Tigers', 'Minister Rajshahi', 'Krira Shikkha Protisthan', 'Chattogram Challengers', 'Comilla Victorians']","['Minister Rajshahi', 'Krira Shikkha Protisthan']"
