player_id,teams
063870fc,['United States of America cricket']
063b3673,"['Rajasthan Royals cricket', ""Rajasthan Cricket Association President's XI cricket"", 'Rajasthan cricket', 'Gujarat Giants cricket', 'Delhi Giants cricket']"
063d0e83,['Gambia Under-19s cricket']
063e8671,['Germany Women cricket']
0655d7d3,['Singapore cricket']
065c35fc,[]
06653fcc,"['Pakistan Women cricket', 'Amazons cricket']"
06659caa,"['North West Women cricket', 'South Africa Emerging Players Women cricket', 'South Africa Women cricket']"
0677d2ad,"['West Indies B cricket', 'Jamaica cricket', 'Jamaica Tallawahs cricket', 'West Indies cricket', 'West Indies Under-19s cricket']"
067bda18,"['Nottinghamshire cricket', 'Derbyshire cricket', 'England Under-19s cricket', 'Derbyshire 2nd XI cricket']"
0680ff7f,['Greece Women cricket']
068c47d2,"['Scotland A cricket', 'Scotland Under-19s cricket', 'Herefordshire cricket', 'Scotland cricket']"
068d27fe,['North-West Warriors cricket']
068fe71c,['Hobart Hurricanes cricket']
0697b5a1,['Belize cricket']
06989091,['Zambia cricket']
069c55b1,"['Suffolk cricket', 'Essex 2nd XI cricket', 'Kent 2nd XI cricket', 'Suffolk Under-13s cricket', 'Suffolk Under-17s cricket', 'Kent cricket', 'Suffolk Under-15s cricket']"
069fbf56,[]
06a9d298,['Canada cricket']
06adaa46,"['India Under-19s cricket', 'Andhra Under-19s cricket', 'United States of America cricket', 'Andhra cricket']"
06ae90c9,['Guernsey Women cricket']
06b387f1,['Lesotho cricket']
06b45b20,['Sweden cricket']
06b766f4,['St Helena cricket']
06b8bdb3,['Gambia cricket']
06bcade5,['Oman Under-19s cricket']
06bcb7e6,"['Zambia Under-19s cricket', 'Zambia cricket']"
06be92a7,['Maldives Women cricket']
06c2de82,"['Brisbane Heat cricket', 'Peshawar Zalmi cricket', 'Bangla Tigers cricket', 'Rangpur Rangers cricket', 'Trent Rockets (Men) cricket', 'Joburg Super Kings cricket', 'Sharjah Warriors cricket', 'Somerset 2nd XI cricket', 'England Under-19s cricket', 'Karachi Kings cricket', 'Somerset cricket', 'England cricket', 'Devon cricket', 'Islamabad United cricket']"
06cad4f0,"['United Arab Emirates cricket', 'United Arab Emirates Under-19s cricket', 'Abu Dhabi Knight Riders cricket', 'Sharjah Warriors cricket', 'New York Strikers cricket', 'Team Abu Dhabi cricket']"
06cbeba1,[]
06da3abc,['Chile cricket']
06deb88a,"['Netherlands Under-21s Women cricket', 'Netherlands Women cricket']"
06e649a0,['Ireland cricket']
06f988b8,"['Hobart Hurricanes Women cricket', 'Sydney Thunder Women cricket', 'Australia Women cricket', 'New South Wales Under-18s Women cricket', 'New South Wales Under-15s Women cricket']"
06fc82b8,"['Zimbabwe cricket', 'Bangla Tigers cricket', 'Mid West Rhinos cricket']"
070bd2b9,"['India Women cricket', 'Andhra Women cricket']"
07160156,['Mexico cricket']
071cec83,['Vanuatu cricket']
